WARNING 2025-09-01 18:08:34,069 log Not Found: /api/fetch-emails/
WARNING 2025-09-01 18:08:34,074 basehttp "POST /api/fetch-emails/ HTTP/1.1" 404 3480
INFO 2025-09-01 18:08:41,488 basehttp "OPTIONS /api/manual-email-refresh/ HTTP/1.1" 200 0
WARNING 2025-09-01 18:08:41,502 log Not Found: /api/manual-email-refresh/
WARNING 2025-09-01 18:08:41,503 basehttp "POST /api/manual-email-refresh/ HTTP/1.1" 404 3504
WARNING 2025-09-01 18:08:43,286 log Not Found: /api/fetch-emails/
WARNING 2025-09-01 18:08:43,287 basehttp "POST /api/fetch-emails/ HTTP/1.1" 404 3480
INFO 2025-09-01 18:09:47,349 autoreload D:\AI powered Email Automation - Copy\backend\email_automation_backend\email_automation_backend\urls.py changed, reloading.
INFO 2025-09-01 18:09:48,907 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 18:10:49,494 autoreload D:\AI powered Email Automation - Copy\backend\email_automation_backend\email_automation_backend\urls.py changed, reloading.
INFO 2025-09-01 18:10:50,886 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 18:11:43,834 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:11:43,839 basehttp "GET /api/get-emails/ HTTP/1.1" 200 4475
INFO 2025-09-01 18:11:43,846 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:11:43,855 basehttp "GET /api/get-emails/ HTTP/1.1" 200 4475
INFO 2025-09-01 18:13:25,025 basehttp "OPTIONS /api/email-accounts/ HTTP/1.1" 200 0
INFO 2025-09-01 18:13:25,025 basehttp "OPTIONS /api/get-emails/ HTTP/1.1" 200 0
INFO 2025-09-01 18:13:25,027 basehttp "OPTIONS /api/email-accounts/ HTTP/1.1" 200 0
INFO 2025-09-01 18:13:25,034 basehttp "OPTIONS /api/get-emails/ HTTP/1.1" 200 0
INFO 2025-09-01 18:13:25,044 basehttp "GET /api/get-emails/ HTTP/1.1" 200 51
INFO 2025-09-01 18:13:25,044 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 21
INFO 2025-09-01 18:13:25,063 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 21
INFO 2025-09-01 18:13:25,065 basehttp "GET /api/get-emails/ HTTP/1.1" 200 51
INFO 2025-09-01 18:13:27,538 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:13:27,543 basehttp "GET /api/get-emails/ HTTP/1.1" 200 4870
INFO 2025-09-01 18:13:27,549 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:13:27,556 basehttp "GET /api/get-emails/ HTTP/1.1" 200 4870
INFO 2025-09-01 18:13:35,648 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 21
INFO 2025-09-01 18:13:35,649 basehttp "GET /api/get-emails/ HTTP/1.1" 200 51
INFO 2025-09-01 18:13:35,662 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 21
INFO 2025-09-01 18:13:35,663 basehttp "GET /api/get-emails/ HTTP/1.1" 200 51
INFO 2025-09-01 18:13:36,739 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 21
INFO 2025-09-01 18:13:36,741 basehttp "GET /api/get-emails/ HTTP/1.1" 200 51
INFO 2025-09-01 18:13:36,755 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 21
INFO 2025-09-01 18:13:36,757 basehttp "GET /api/get-emails/ HTTP/1.1" 200 51
INFO 2025-09-01 18:17:02,728 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 18:17:18,540 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:17:18,555 basehttp "GET /api/get-emails/ HTTP/1.1" 200 4870
INFO 2025-09-01 18:17:18,566 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:17:18,585 basehttp "GET /api/get-emails/ HTTP/1.1" 200 4870
INFO 2025-09-01 18:17:20,315 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:17:20,320 basehttp "GET /api/get-emails/ HTTP/1.1" 200 4870
INFO 2025-09-01 18:17:20,329 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:17:20,333 basehttp "GET /api/get-emails/ HTTP/1.1" 200 4870
INFO 2025-09-01 18:17:55,771 basehttp "GET /admin/User/emailmessage/ HTTP/1.1" 200 22520
INFO 2025-09-01 18:17:55,793 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,800 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,800 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,807 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,808 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,809 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,810 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,813 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,813 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,815 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,816 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,816 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,818 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,819 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,823 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
